"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","BE(PPM)","F(PPM)","AR40(CCMSTP/G)","CA(PPM)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM): altern. values or methods","","","","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPB)","PD(PPB)","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","IR(PPB)","PT(PPB)","AU(PPB)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND_INI","SM147_ND144","SR87_SR86","SR87_SR86_INI","EPSILON_SR_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","U238_PB204","D18O(PER MIL)","AGE(KA)","AGE(MA)",
"1985"," [4820] MCDONOUGH W. F. (1985)","samp. 71-10","145695","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - MOUNT WATCH / NORTHERN PROVINCE","","-37.65","140.45","-37.75","140.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","43.85","3.64","9.17","","","2.39","","9.57","10.33","15.54","0.17","","0.35","4.14","0.84","","1.33","0.88","0.05","","","","","","","","","","","","","","264","535","","460","57","107","","40","804","22","XRF","22","SSMS","327","76","","","","","1.12","820","XRF","894","SSMS","63","XRF","62","SSMS","138","XRF","125","SSMS","16","64.9","MS_ID","65.2","SSMS","11.6","3.41","6.8","1.23","5.2","0.91","2.14","","1.79","","6.44","","","","","","5","XRF","4.55","SSMS","7.25","1.67","0.51193","","","","0.7045","","","","","","","","","","",
"1985"," [4820] MCDONOUGH W. F. (1985)","samp. 70-1174","145696","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE","","-37","140","-39","148","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","43.75","3.68","9.37","","","2.5","","10","10.66","15.18","0.18","","0.39","3.4","0.88","","1.85","1.17","0.11","","","","","","","","","","","","","","264","540","","496","53","108","","29","1200","21","XRF","","","327","76","","","","","","875","XRF","","","65","XRF","","","137","XRF","","","","","","","","","","","","","","","","","","","","","","","","5","XRF","","","","","","","","","","","","","","","","","","","",
"1985"," [4820] MCDONOUGH W. F. (1985)","samp. 71-8","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - MOUNT MCINTYRE / NORTHERN PROVINCE","","-37.55","140.55","-37.55","140.55","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","44.09","3.87","10.56","","","2.42","","9.69","11.88","12.03","0.18","","0.36","3.89","1.02","","1.75","1.46","0.05","","","","","","","","","","","","","","263","292","","250","68","102","","10","1021","24","XRF","28","SSMS","354","86","","","","","1.15","855","XRF","893","SSMS","69","XRF","68","SSMS","153","XRF","127","SSMS","18.2","68","MS_ID","67.8","SSMS","11.7","3.33","6.8","1.21","5","0.89","1.91","","1.62","","6.71","","","","","","5","XRF","5.82","SSMS","7.14","1.34","0.511971","","","","0.70434","","","","","","","","","","",
"1985"," [4820] MCDONOUGH W. F. (1985)","samp. 71-10","145695","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - MOUNT WATCH / NORTHERN PROVINCE","","-37.65","140.45","-37.75","140.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70434","","","","","","","","","","",
"1997"," [7619] VOGEL D. C. (1997)","samp. 70-1174","145696","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE","","-37","140","-39","148","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","CONES BASALT","2000000","3000000","PLIOCENE-PLEISTOCENE","","","","WHOLE ROCK","","","","43.75","3.68","","","12.5","","","","10.66","15.18","0.18","","0.39","3.4","0.88","","","","","","","","","","0.79","","","","","","","","264","540","78","496","53","108","","29","1200","21","XRF","","","327","76","","0.41","1.49","","","875","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.058","2.18","0.391","","","","","","","","","","","","","","","","","","","","","",
"2004"," [7696] CVETKOVIC V. (2004)","samp. 91","","DINARIDES / INNER DINARIDES / SERBIA","DRUZETICI","44.0275","20.1553","44.0275","20.1553","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","CENOZOIC","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","","2.71E-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9",
"2004"," [7696] CVETKOVIC V. (2004)","samp. 73/10","","DINARIDES / INNER DINARIDES / SERBIA","NOVA VAROS","43.2128","19.9695","43.2128","19.9695","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","CENOZOIC","","","","WHOLE ROCK","","","","43.47","1.58","11.99","","13.37","","","","10.46","12.16","0.15","","1.75","3.4","1.34","","","","","","","","","","0.53","1.49","","","","1.256E-06","","","","429","","202","","","","62","756","26","XRF","","","266","35","","","","","","1077","XRF","","","78.8","ICPMS","","","166","ICPMS","","","16.3","64.2","ICPMS","","","9.73","2.43","6.76","","5.2","1.1","2.74","","2.09","0.34","","","","","","","","","","","","","","0.51261","","","","0.70629","","","","","","","","","21.52",
"2004"," [7696] CVETKOVIC V. (2004)","samp. 32","","DINARIDES / INNER DINARIDES / SERBIA","TRIJEBINE","43.2183","19.9278","43.2183","19.9278","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","CENOZOIC","","","","WHOLE ROCK","","","","44.57","1.57","12.64","","11.95","","","","14.28","8.26","0.14","","0.96","2.76","1.16","","","","","","","","","","1.51","0.77","","","","6.94E-07","","","","422","","239","","","","162","1007","31","XRF","","","339","37","","","","","","1170","XRF","","","85.3","ICPMS","","","200.9","ICPMS","","","19.6","92.1","ICPMS","","","14.92","3.85","9.71","","6.67","1.34","3.36","","2.31","0.38","","","","","","","","","","","","","","0.51259","","","","0.70585","","","","","","","","","22.95",
"1984"," [8205] IRVING A. J. (1984)","samp. SM-37","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / CENTRAL VOLCANIC PROVINCE - SPRING MOUNT","SPRING MOUNT","-35.4","138.5","-35.5","138.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","","","","","","","","WHOLE ROCK","","","","46.4","1.87","15.73","0.01","","","10.95","","5.68","4.88","0.19","","2.72","5.12","0.92","","5.53","","","","","","","","","","","","","","","11.8","","71","33","","","","","","","","","","","","","","","","","","310","XRF","","","72","INAA","","","115","INAA","","","","44.1","INAA","","","8.56","2.92","","1.08","","","","","2.22","0.32","9","5.9","","","","","","","","","7.4","","","","","","","","","","","","","","","","",
"1984"," [8205] IRVING A. J. (1984)","samp. M3","176261","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","MURRUMBURRAH","-34.55","148.33","-34.55","148.33","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","","DIKE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","","222","65","","","","","","","","","","","","","","","","","","1420","XRF","","","68.9","INAA","","","130","INAA","","","","55","INAA","","","10.3","3.27","","0.67","","0.6","","","1.27","0.16","5.9","5.9","","","","","","","","","8.3","","","","","","","","","","","","","","","","",
