Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);HFO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);V2O3(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);FET(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);AS2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);OH(WT%);SO3(WT%);S(WT%);LOI(WT%);TI(WT%);CA(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);;;;AR40(CCMSTP/G);;;;AR40(MOL/G);;;;AR40(PPB);K(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM);;;;CO(PPM);;;;NI(PPM);;;;CU(PPM);;;;ZN(PPM);;;;GA(PPM);;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM);;;;;;SR(PPM);;;;;;Y(PPM);;;;ZR(PPM);;;;NB(PPM);;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM): altern. values or methods;;;;TE(PPM);CS(PPM): altern. values or methods;;;;BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM): altern. values or methods;;;;TB(PPM): altern. values or methods;;;;DY(PPM): altern. values or methods;;;;HO(PPM);ER(PPM): altern. values or methods;;;;TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;AR40_AR36_INI;PB206_U238;PB207_U235;RA226_TH230_ACT;PA231_U235_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;D7LI(VS LSVEC);D13C(VS PDB);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS VCDT);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);MAGNESIOFERRITE(MOL%);MONTICELLITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);PICROCHROMITE(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-029;;CORE;PRIMARY;;;;;54.618;0.028;;;;28.181;0;;;;;;;;;0.388;;;11.003;0.029;0;;;0.014;;;0.17;EMP (EPMA);;;5.304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.1355717453278;52.8904022806462;;;;;;;;;;;;;0.974025974025974;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-030;;;PRIMARY;;;;;55.501;0;;;;27.138;0;;;;;;;;;0.383;;;10.12;0.02;0.048;;;0;;;0.19;EMP (EPMA);;;5.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.2054361567636;48.7041719342604;;;;;;;;;;;;;1.09039190897598;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-031;;RIM;PRIMARY;;;;;56.653;0.012;;;;26.679;0.039;;;;;;;;;0.398;;;9.436;0.023;0.006;;;0;;;0.287;EMP (EPMA);;;6.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6370548219288;45.7062825130052;;;;;;;;;;;;;1.65666266506603;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-032;;;PRIMARY;;;;;57.252;0.009;;;;25.955;0.029;;;;;;;;;0.388;;;8.706;0.016;0;;;0;;;0.349;EMP (EPMA);;;6.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.6072144288577;42.372745490982;;;;;;;;;;;;;2.02004008016032;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-033;;;PRIMARY;;;;;54.279;0.012;;;;27.918;0.016;;;;;;;;;0.518;;;11.194;0.04;0;;;0;;;0.236;EMP (EPMA);;;5.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.5324253701797;54.1056298994378;;;;;;;;;;;;;1.36194473038245;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-034;;;PRIMARY;;;;;56.025;0;;;;26.482;0;;;;;;;;;0.606;;;9.507;0.056;0.01;;;0.038;;;0.396;EMP (EPMA);;;5.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.3111608570515;46.3863127598337;;;;;;;;;;;;;2.30252638311481;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-035;;CORE;PRIMARY;;;;;55.086;0;;;;27.792;0.053;;;;;;;;;0.328;;;10.84;0;0;;;0;;;0.165;EMP (EPMA);;;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.9623762376238;52.0950495049505;;;;;;;;;;;;;0.942574257425743;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-036;;;PRIMARY;;;;;53.987;0.011;;;;27.961;0.006;;;;;;;;;0.327;;;11.478;0.007;0;;;0;;;0.149;EMP (EPMA);;;4.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.5171268095879;55.6205996361047;;;;;;;;;;;;;0.862273554307412;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-037;;;PRIMARY;;;;;58.762;0;;;;25.418;0.016;;;;;;;;;0.111;;;7.791;0.001;0.023;;;0.013;;;0.275;EMP (EPMA);;;6.954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.789030550878;37.631304626734;;;;;;;;;;;;;1.57966482238794;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-038;;;PRIMARY;;;;;58.592;0;;;;25.501;0;;;;;;;;;0.188;;;7.859;0.003;0.004;;;0;;;0.232;EMP (EPMA);;;6.921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.621387283237;38.0378933847142;;;;;;;;;;;;;1.34071933204881;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-039;;;PRIMARY;;;;;53.835;0;;;;28.361;0.031;;;;;;;;;0.301;;;11.71;0.026;0;;;0;;;0.129;EMP (EPMA);;;4.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.104001917086;57.14513938813;;;;;;;;;;;;;0.750858694783929;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-041;;CORE;PRIMARY;;;;;54.014;0.009;;;;28.306;0.008;;;;;;;;;0.33;;;11.269;0.02;0.033;;;0;;;0.556;EMP (EPMA);;;4.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.402910701574;54.4016451791505;;;;;;;;;;;;;3.19544411927549;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-042;;;PRIMARY;;;;;60.158;0.057;;;;22.723;0;;;;;;;;;0.636;;;6.422;0.033;0;;;0;;;1.766;EMP (EPMA);;;6.493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.9517001857685;31.6775704708828;;;;;;;;;;;;;10.3707293433487;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-043;;;PRIMARY;;;;;52.035;0;;;;29.547;0;;;;;;;;;0.453;;;13.184;0.026;0;;;0.006;;;0.108;EMP (EPMA);;;4.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.4996837444655;63.8757115749526;;;;;;;;;;;;;0.62460468058191;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-045;;CORE;PRIMARY;;;;;53.412;0.022;;;;28.777;0;;;;;;;;;0.156;;;11.932;0;0.023;;;0.012;;;0.178;EMP (EPMA);;;4.769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.5431904161412;57.4401008827238;;;;;;;;;;;;;1.01670870113493;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-046;;;PRIMARY;;;;;53.477;0.001;;;;28.967;0;;;;;;;;;0.161;;;11.928;0;0;;;0;;;0.176;EMP (EPMA);;;4.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.6627228269443;57.3276542041331;;;;;;;;;;;;;1.00962296892254;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-047;;;PRIMARY;;;;;55.959;0;;;;26.385;0;;;;;;;;;0.132;;;9.212;0.014;0;;;0;;;0.309;EMP (EPMA);;;5.958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.952;45.24;;;;;;;;;;;;;1.808;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-048;;;PRIMARY;;;;;57.147;0.034;;;;26.447;0;;;;;;;;;0.119;;;8.738;0.003;0;;;0.054;;;0.304;EMP (EPMA);;;6.384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.9385747420619;42.3098456370471;;;;;;;;;;;;;1.75157962089099;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-049;;;PRIMARY;;;;;58.778;0;;;;25.324;0.006;;;;;;;;;0.118;;;7.647;0;0.003;;;0;;;0.378;EMP (EPMA);;;7.104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.358777417056;36.49536780426;;;;;;;;;;;;;2.14585477868398;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV43;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;MBAZO;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;13-050;;;PRIMARY;;;;;57.628;0.072;;;;26.248;0.008;;;;;;;;;0.166;;;8.594;0;0;;;0.036;;;0.308;EMP (EPMA);;;6.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.6941751462223;41.5351334027722;;;;;;;;;;;;;1.77069145100553;;;;;;;;;;;;;;;;;;;;
