Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;63.75;;;;18.7;;;;;;;;;0.0323;;;;0.454;;;;;;;;;13.37;EMP (EPMA);;;2.22;;;;;;;;;;;;;;;;;;;;;;;14.3;0;;;;;;;;;;;;;;;3520;5.37;ICPMS_LA;;;239;ICPMS_LA;;;0;0;0;;0;0;0;0;13.82;;;;;402;ICPMS_LA;;;1426;ICPMS_LA;;;0;ICPMS_LA;;;0.118;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3;7140;ICPMS_LA;;;6.02;ICPMS_LA;;;4.91;ICPMS_LA;;;0.234;0.42;ICPMS_LA;;;0;ICPMS_LA;;;5.29;0;0;0;0;0;0;0;0;0;0;;;;;;;;130.3;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.7021059351125;2.22653281163515;;;;;;78.0713612532523;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;63.86;;;;18.71;;;;;;;;;0;;;;0.4604;;;;;;;;;13.26;EMP (EPMA);;;2.24;;;;;;;;;;;;;;;;;;;;;;;14.5;0;;;;;;;;;;;;;;;3630;4.56;ICPMS_LA;;;247;ICPMS_LA;;;0;0;0;;0;0;0;2.7;13.98;;;;;400;ICPMS_LA;;;1472;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;2.96;7050;ICPMS_LA;;;6.05;ICPMS_LA;;;4.78;ICPMS_LA;;;0.312;0.44;ICPMS_LA;;;0;ICPMS_LA;;;5.57;0;0;0;0;0;0;0;0;0;0;;;;;;;;130.6;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.9661433667138;2.26774936047218;;;;;;77.766107272814;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;63.62;;;;18.71;;;;;;;;;0.0178;;;;0.6072;;;;;;;;;13.38;EMP (EPMA);;;2.12;;;;;;;;;;;;;;;;;;;;;;;16.2;0.76;;;;;;;;;;;;;;;4370;5.25;ICPMS_LA;;;234;ICPMS_LA;;;0;0;0;;0;0;0;3.7;13.37;;;;;402;ICPMS_LA;;;1287;ICPMS_LA;;;0.121;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;2.95;6390;ICPMS_LA;;;5.23;ICPMS_LA;;;4.03;ICPMS_LA;;;0.252;0.68;ICPMS_LA;;;0;ICPMS_LA;;;5.12;0;0;0;0;0;0;0;0;0;0;;;;;;;;115.7;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.829264774419;2.98018233223203;;;;;;78.190552893349;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;63.87;;;;18.56;;;;;;;;;0.0382;;;;0.3827;;;;;;;;;13.83;EMP (EPMA);;;2.2;;;;;;;;;;;;;;;;;;;;;;;17.3;0;;;;;;;;;;;;;;;4080;4.99;ICPMS_LA;;;244;ICPMS_LA;;;0;0;0;;0;0;0;0;13.5;;;;;401;ICPMS_LA;;;1325;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.09;6490;ICPMS_LA;;;5.18;ICPMS_LA;;;4.35;ICPMS_LA;;;0.245;0.45;ICPMS_LA;;;0;ICPMS_LA;;;5.08;0;0;0;0;0;0;0;0;0;0;;;;;;;;119.1;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.1119995220205;1.83719594659597;;;;;;79.0508045313835;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;62.82;;;;18.99;;;;;;;;;0.0994;;;;0.5331;;;;;;;;;13.72;EMP (EPMA);;;2.27;;;;;;;;;;;;;;;;;;;;;;;15.6;0;;;;;;;;;;;;;;;4150;4.74;ICPMS_LA;;;232;ICPMS_LA;;;0;0;0;;0;0;0;0;13.3;;;;;396;ICPMS_LA;;;1268;ICPMS_LA;;;0;ICPMS_LA;;;0.177;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.1;6280;ICPMS_LA;;;5.59;ICPMS_LA;;;4.49;ICPMS_LA;;;0.237;0.51;ICPMS_LA;;;0;ICPMS_LA;;;4.92;0;0;0;0;0;0;0;0;0;0;;;;;;;;117.2;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.5827602990705;2.54138407752389;;;;;;77.8758556234056;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.27;;;;18.26;;;;;;;;;0.0155;;;;0.3885;;;;;;;;;13.85;EMP (EPMA);;;2.17;;;;;;;;;;;;;;;;;;;;;;;15.1;0;;;;;;;;;;;;;;;4340;4.82;ICPMS_LA;;;226;ICPMS_LA;;;0;0;0;;0;0;0;0;14.52;;;;;401;ICPMS_LA;;;1274;ICPMS_LA;;;0;ICPMS_LA;;;0.144;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;2.86;6200;ICPMS_LA;;;5.85;ICPMS_LA;;;4.9;ICPMS_LA;;;0.231;0.56;ICPMS_LA;;;0;ICPMS_LA;;;4.67;0;0;0;0;0;0;0;0;0;0;;;;;;;;117.4;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.8737385608407;1.86725140749535;;;;;;79.2590100316639;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT 95;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / LA VETTA FORMATION;TOP OF MONTE AMIATA EXOGENOUS LAVA DOME;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.25;;;;18.76;;;;;;;;;0.0319;;;;0.45;;;;;;;;;13.8;EMP (EPMA);;;2.09;;;;;;;;;;;;;;;;;;;;;;;15.5;0;;;;;;;;;;;;;;;4730;5.2;ICPMS_LA;;;227;ICPMS_LA;;;0;0;0;;0;0;0;0;14;;;;;413;ICPMS_LA;;;1165;ICPMS_LA;;;0.15;ICPMS_LA;;;0.139;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.17;5880;ICPMS_LA;;;5.56;ICPMS_LA;;;4.65;ICPMS_LA;;;0.272;0.83;ICPMS_LA;;;0;ICPMS_LA;;;4.68;0;0;0;0;0;0;0;0;0;0;;;;;;;;109;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.3035592992978;2.17778674184144;;;;;;79.5186539588608;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.8477733135223;;;;18.1734874844551;;;;;;;;;0.152786343824118;;;;0.168098649010062;;;;;;;;;13.7187376618385;EMP (EPMA);;;1.93236134946346;;;;;;;;;;;;;;;;;;;;;;;22.1;0;;;;;;;;;;;;;;;1890;5.37;ICPMS_LA;;;73.5;ICPMS_LA;;;0;0;0;;0;0;0;0;14.8;;;;;421;ICPMS_LA;;;838;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.35;2481;ICPMS_LA;;;5.4;ICPMS_LA;;;3.36;ICPMS_LA;;;0.186;0;ICPMS_LA;;;0;ICPMS_LA;;;3.06;0;0;0;0;0;0;0;0;0;0;;;;;;;;82.6;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4848089811448;0.840524436486552;;;;;;81.6746665823687;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;65.429675579071;;;;18.1648507714272;;;;;;;;;0;;;;0.263462960720062;;;;;;;;;13.6084318161011;EMP (EPMA);;;1.87562964856625;;;;;;;;;;;;;;;;;;;;;;;22;0;;;;;;;;;;;;;;;2010;5.31;ICPMS_LA;;;64.6;ICPMS_LA;;;0;0;0;;0;0;0;0;15.1;;;;;430;ICPMS_LA;;;834;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.19;2516;ICPMS_LA;;;5.31;ICPMS_LA;;;3.34;ICPMS_LA;;;0.177;0.16;ICPMS_LA;;;0;ICPMS_LA;;;3.13;0;0;0;0;0;0;0;0;0;0;;;;;;;;81.2;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0899444431181;1.32655939899047;;;;;;81.5834961578914;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;65.2323186397553;;;;18.3872476220131;;;;;;;;;0;;;;0.132183392997831;;;;;;;;;13.6510998010635;EMP (EPMA);;;1.83437839150429;;;;;;;;;;;;;;;;;;;;;;;22.9;0.58;;;;;;;;;;;;;;;2300;5.34;ICPMS_LA;;;114;ICPMS_LA;;;0;0;0;;0;0;0;0;15.74;;;;;445;ICPMS_LA;;;1012;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.5;2963;ICPMS_LA;;;6.91;ICPMS_LA;;;4.56;ICPMS_LA;;;0.205;0.35;ICPMS_LA;;;0;ICPMS_LA;;;4.12;0;0;0;0;0;0;0;0;0;0;;;;;;;;97.4;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.8456569272104;0.670794499406918;;;;;;82.4835485733827;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;65.3657913208008;;;;18.2059198617935;;;;;;;;;0.01969457953237;;;;0.279138865880668;;;;;;;;;13.6608839035034;EMP (EPMA);;;1.94824654608965;;;;;;;;;;;;;;;;;;;;;;;22.7;0.8;;;;;;;;;;;;;;;2280;5.06;ICPMS_LA;;;125;ICPMS_LA;;;0;0;0;;0;0;0;0;14.9;;;;;426;ICPMS_LA;;;956;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.25;2851;ICPMS_LA;;;6.46;ICPMS_LA;;;4.14;ICPMS_LA;;;0.168;0.42;ICPMS_LA;;;0;ICPMS_LA;;;3.58;0;0;0;0;0;0;0;0;0;0;;;;;;;;93.3;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.5662681177607;1.3908153434211;;;;;;81.0429165388182;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.8277521133423;;;;18.3607891201973;;;;;;;;;0;;;;0.294422544538975;;;;;;;;;13.8929054141045;EMP (EPMA);;;1.79823879152536;;;;;;;;;;;;;;;;;;;;;;;26;0;;;;;;;;;;;;;;;2110;5.31;ICPMS_LA;;;112;ICPMS_LA;;;0;0;0;;0;0;1.23;0;14.79;;;;;432;ICPMS_LA;;;912;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.43;2749;ICPMS_LA;;;6.16;ICPMS_LA;;;4.17;ICPMS_LA;;;0.187;0.42;ICPMS_LA;;;0;ICPMS_LA;;;3.51;0;0;0;0;0;0;0;0;0;0;;;;;;;;89.7;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.1975207132798;1.46549997383085;;;;;;82.3369793128894;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.8663938045502;;;;18.2266384363174;;;;;;;;;0;;;;0.257043214514852;;;;;;;;;13.7778788805008;EMP (EPMA);;;1.84948798269033;;;;;;;;;;;;;;;;;;;;;;;25.8;0;;;;;;;;;;;;;;;2250;5.15;ICPMS_LA;;;113.9;ICPMS_LA;;;0;0;0;;0;0;0;0;15.75;;;;;435;ICPMS_LA;;;966;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.44;2868;ICPMS_LA;;;6.38;ICPMS_LA;;;4.38;ICPMS_LA;;;0.173;0.42;ICPMS_LA;;;0;ICPMS_LA;;;3.58;0;0;0;0;0;0;0;0;0;0;;;;;;;;94.2;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7270804939165;1.28466043251942;;;;;;81.9882590735641;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;64.9445235729218;;;;18.0224597454071;;;;;;;;;0;;;;0.296691409312189;;;;;;;;;13.7524768710136;EMP (EPMA);;;1.91759485751391;;;;;;;;;;;;;;;;;;;;;;;22.8;0;;;;;;;;;;;;;;;2080;4.66;ICPMS_LA;;;93.8;ICPMS_LA;;;0;0;0;;0;0;0;0;15.1;;;;;444;ICPMS_LA;;;876;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.54;2645;ICPMS_LA;;;5.34;ICPMS_LA;;;3.54;ICPMS_LA;;;0.169;0.34;ICPMS_LA;;;0;ICPMS_LA;;;3.14;0;0;0;0;0;0;0;0;0;0;;;;;;;;84.9;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.228829397409;1.47304989342321;;;;;;81.2981207091678;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;65.0837421417236;;;;18.185505270958;;;;;;;;;0;;;;0.263186055235565;;;;;;;;;13.6609598994255;EMP (EPMA);;;1.8519913777709;;;;;;;;;;;;;;;;;;;;;;;25.6;0;;;;;;;;;;;;;;;2230;4.93;ICPMS_LA;;;93.6;ICPMS_LA;;;0;0;0;;0;0;0;0;14.7;;;;;450;ICPMS_LA;;;894;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.32;2718;ICPMS_LA;;;5.78;ICPMS_LA;;;3.8;ICPMS_LA;;;0.164;0.29;ICPMS_LA;;;0;ICPMS_LA;;;3.33;0;0;0;0;0;0;0;0;0;0.018;;;;;;;;89;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.8580191749437;1.32386600133562;;;;;;81.8181148237206;;;;;;;;;;;;;;;;;;;;;;;;;
2019;[22718] LANDI P. (2019);samp. AMT60;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA / CODERINO FORMATION;CODERINO;42.88;11.62;42.88;11.62;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;;;PRIMARY;;;;;;;;65.4568672180176;;;;18.2002618908882;;;;;;;;;0.0402090867282823;;;;0.380965601652861;;;;;;;;;13.6020094156265;EMP (EPMA);;;1.93755179643631;;;;;;;;;;;;;;;;;;;;;;;26.5;0;;;;;;;;;;;;;;;1760;5.17;ICPMS_LA;;;75.6;ICPMS_LA;;;0;0;0;;0;0;0;0;14.9;;;;;452;ICPMS_LA;;;858;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;0;ICPMS_LA;;;;;;;;;;;;;3.66;2603;ICPMS_LA;;;5.12;ICPMS_LA;;;3.69;ICPMS_LA;;;0.199;0.2;ICPMS_LA;;;0;ICPMS_LA;;;3.04;0;0;0;0;0;0;0;0;0;0;;;;;;;;83.6;ICPMS_LA;;;;;0;ICPMS_LA;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4590753089056;1.89699965616135;;;;;;80.643925034933;;;;;;;;;;;;;;;;;;;;;;;;;
