"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","HOSTMINERAL (INCLUSION)","HEATING","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%): altern. values or methods","","","","LI(PPM)","BE(PPM)","F(PPM)","S(PPM)","CL(PPM)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM): altern. values or methods","","","","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","SR87_SR86_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","TH232_PB204","U238_PB204","D7LI(VS LSVEC)","D18O(VS SMOW)","D34S(VS CDT)","DD(VS SMOW)","ALBITE(MOL%)","AEGIRINE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","DIOPSIDE(MOL%)","ENSTATITE(MOL%)","FE-ORTHOCLASE(MOL%)","FERROSILITE(MOL%)","HEDENBERGITE(MOL%)","JADEITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPTUNITE(MOL%)","ORTHOCLASE(MOL%)","TI-AEGIRINE(MOL%)","AGE(MA): altern. values or methods","","","",
"2011 "," [15194] ULRYCH J.(2011)  [GeoReM [7755] ]","samp. 35","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","EGER RIFT GRABEN","50","13","51","15","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","OLIGOCENE","","WHOLE ROCK","","","","","","","","","","51.87","0.59","","19.51","","3.544707","","","","3.26","0.72","0.19","","","4.41","7.16","0.09","","","","","","","","","7.8","","","","","","","","","","","2","","69","14","","4.2","9","","97","","147","ICPMS","","","1742","ICPMS","","","20.1","ICPMS","","","685","ICPMS","","","119","ICPMS","","","","6.8","1682","ICPMS","","","107.3","ICPMS","","","137.5","ICPMS","","","","34.2","ICPMS","","","4","ICPMS","","","1.33","3.27","0.43","ICPMS","","","3.17","","","","2.07","0.29","10.3","2.78","","","","","21","4.2","ICPMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2011 "," [15194] ULRYCH J.(2011)  [GeoReM [7755] ]","samp. 36","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","EGER RIFT GRABEN","50","13","51","15","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","OLIGOCENE","","WHOLE ROCK","","","","","","","","","","53.26","0.79","","20.66","","4.385871","","","","3.69","0.7","0.2","","","4.73","8.98","0.13","","","","","","","","","1.88","","","","","","","","","","","1.86","","107","3.1","","4.55","","","117","","182","ICPMS","","","1270","ICPMS","","","10.8695652173913","ICPMS","","","878","ICPMS","","","141.1","ICPMS","","","","2.98","1176","ICPMS","","","117.4","ICPMS","","","150","ICPMS","","","","31.7","ICPMS","","","5.01","ICPMS","","","1.52","2.4","0.527","ICPMS","","","3.15","","","","2.34","0.29","11.7","3.28","","","","","22.9","7.2","ICPMS","","","0.512823870681078","","0.70355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2011 "," [15194] ULRYCH J.(2011)  [GeoReM [7755] ]","samp. 37","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","EGER RIFT GRABEN","50","13","51","15","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","OLIGOCENE","","WHOLE ROCK","","","","","","","","","","54.82","0.4","","20.84","","3.326848","","","","2.2","0.32","0.2","","","4.85","8.77","0.07","","","","","","","","","3.51","","","","","","","","","","","0.43","","57.3","0.7","","1.62","","","122","","183.4","ICPMS","","","1150","ICPMS","","","12.3369565217391","ICPMS","","","1145","ICPMS","","","127.3","ICPMS","","","","3.97","1110","ICPMS","","","126","ICPMS","","","153","ICPMS","","","","27","ICPMS","","","3.61","ICPMS","","","1.11","2.35","0.371","ICPMS","","","3.12","","","","2.34","0.35","15.4","2.7","","","","","27.7","6.6","ICPMS","","","0.512780283859378","","0.70383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [16248] FERAUD G. (1982)","samp. DR-6-39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","AMPHIBOLE","","","","PRIMARY","","","","","","","","","","","","","","","","","","","2.15","","","","","","","","","","","","","","","","","","","","","1.99E-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","K-AR","68","AR-AR",
"1995"," [17522] O^BRIEN H. E. (1995)","samp. HM-538","","WYOMING CRATON / MONTANA / HIGHWOOD MOUNTAINS","","47.5","-110.6","47.5","-110.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","PALEOGENE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","ICPAES","","","1371","ICPAES","","","","","","","","","","","","","","","","","","","","","33.1","MS_ID","","","53.74","MS_ID","","","","18.845","MS_ID","18.48","TIMS_ID","3.099","MS_ID","3.038","TIMS_ID","1","2.31","","","","","1.651","","0.857","","0.884","0.137","","","","","","","","","","","","0.511601","0.0991","0.707814","","0.4843","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995"," [17522] O^BRIEN H. E. (1995)","samp. HM-538","","WYOMING CRATON / MONTANA / HIGHWOOD MOUNTAINS","","47.5","-110.6","47.5","-110.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","PALEOGENE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","ICPAES","","","57.4","ICPAES","","","","20.8","ICPAES","","","2.85","ICPAES","","","0.98","2.17","","","","","1.71","","","","0.91","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995"," [17599] WOOLLEY A. R. (1995)","samp. 100","","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / ANOROGENIC ALKALINE COMPLEXES / BINGO CARBONATITE","","0.53","29.3169","0.53","29.3169","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","51.7","0.6","","18.9","","","5.18","","1.3","3.28","0.33","0.2","","","5.16","9.41","0.12","1.06","","","0.74","","","","","","","","","","2.9","5.4","2570","","1310","","0.4","","36","6.8","","10.2","4","23.1","134","26.2","127","NOT","","","1677","NOT","","","40.1","NOT","","","454","NOT","","","199","NOT","","","0","6","2599","NOT","","","167","NOT","","","306","NOT","","","","88.1","NOT","","","12.2","NOT","","","3.44","11.4","","","","","8.1","","","","277","","9.4","","17","NOT","","","30.4","4","NOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995"," [17599] WOOLLEY A. R. (1995)","samp. 100","","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / ANOROGENIC ALKALINE COMPLEXES / BINGO CARBONATITE","","0.53","29.3169","0.53","29.3169","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","43.53","","","32.12","","0.52","","","","0","0","","0.06","0","6.53","16.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [17725] MITCHELL R. H. (1975)","samp. TINGUAITE 1","","OSLO-SKAGERRAK RIFT / OSLO RIFT / FEN ALKALINE COMPLEX","","59.2","10.3","59.2","10.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","CAMBRIAN","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6","RNAA","","","163","RNAA","","","","","","","","6.92","RNAA","","","1.78","","0.77","RNAA","","","","","","","1.43","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [17725] MITCHELL R. H. (1975)","samp. TINGUAITE 2","","OSLO-SKAGERRAK RIFT / OSLO RIFT / FEN ALKALINE COMPLEX","","59.2","10.3","59.2","10.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","CAMBRIAN","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9","RNAA","","","175","RNAA","","","","","","","","7.01","RNAA","","","2.04","","0.8","RNAA","","","","","","","1.88","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [17784] KRAMM U. (1994)","samp. KH-370","","MATACHEWAN LARGE IGNEOUS PROVINCE / KHIBINY (KHIBINA) MASSIF","","67.55","33.22","67.88","34.23","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","DEVONIAN","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.44","SOSMS_ID","","","713.8","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4","SOSMS_ID","","","8.989","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","0.512517","0.07611","0.70517","","0.2368","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [17784] KRAMM U. (1994)","samp. KH-100","","MATACHEWAN LARGE IGNEOUS PROVINCE / KHIBINY (KHIBINA) MASSIF","","67.55","33.22","67.88","34.23","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","DEVONIAN","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234.5","SOSMS_ID","","","1845","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70583","","0.3675","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [17784] KRAMM U. (1994)","samp. LOV-8152","","BALTIC SHIELD / KOLA-LAPLAND PROVINCE / LOVOZERO MASSIF","","67.72","34.43","67.92","35.07","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","DEVONIAN","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299.9","SOSMS_ID","","","2109","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70576","","0.4113","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","45.97","","","31.96","","0.42","","","","0","","","","","4.07","16.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","CORE","PRIMARY","","","","","44.71","","","32.95","","0.89","","","","0","","","","","4.56","17.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","RIM","PRIMARY","","","","","47.66","","","30.79","","1.23","","","","0","","","","","3.4","16.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. 3","","NEW ZEALAND / SOUTH ISLAND / OTAGO","PORTOBELLO, OTAGO HARBOUR","-45.6","170.5","-45.8","170.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","45.83","","","32.64","","0.49","","","","0.27","","","","","3.73","17.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. 3","","NEW ZEALAND / SOUTH ISLAND / OTAGO","PORTOBELLO, OTAGO HARBOUR","-45.6","170.5","-45.8","170.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","49.27","","","29.56","","0.93","","","","0","","","","","3.07","16.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","PRIMARY","","","","","49.97","","","25.24","","0.19","","","","0","","","","","0.08","15.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","PRIMARY","","","","","50.34","","","24.7","","0.98","","","","0.06","","","","","0","15.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","PRIMARY","","","","","53.74","","","23.4","","0.1","","","","0","","","","","0","14.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. 3","","NEW ZEALAND / SOUTH ISLAND / OTAGO","PORTOBELLO, OTAGO HARBOUR","-45.6","170.5","-45.8","170.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","PRIMARY","","","","","54.71","","","22.9","","0.1","","","","0","","","","","0","14.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. 3","","NEW ZEALAND / SOUTH ISLAND / OTAGO","PORTOBELLO, OTAGO HARBOUR","-45.6","170.5","-45.8","170.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","PRIMARY","","","","","60.2","","","18.61","","0","","","","0","","","","","0","11.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","47.86","","","30.89","","0.85","","","","","","","","","3.35","17.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST16","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","47.41","","","30.91","","0.75","","","","","","","","","3.05","17.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","45.27","","","31.81","","1.02","","","","0.17","","","","","3.48","17.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","","PRIMARY","","","","","47.83","","","31.84","","0.79","","","","0","","","","","3.73","17.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","SECONDARY","","","","","46.85","","","26.76","","1.03","","","","0.25","","","","","1.02","15.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","INCLUSION","","","","","","MINERAL INCLUSION","NEPHELINE","(AL)KALIFELDSPAR","False","47.92","","","31.57","","0.97","","","","0","","","","","3.67","17.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST40","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","INCLUSION","","","","","","MINERAL INCLUSION","ANALCIME","(AL)KALIFELDSPAR","False","51.17","","","24.8","","0.56","","","","0","","","","","0.34","15.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","PHENOCRYST","","PRIMARY","","","","","47.87","","","31.4","","1.13","","","","0","","","","","3.45","16.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [18005] WILKINSON J. F. G. (1994)","samp. ST12","","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES","SQUARE TOP, WEST OF NUNDLE","-31.5","151.1","-31.5","151.1","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE, ANALCIME","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ANALCIME","","","","SECONDARY","","","","","53.48","","","23.37","","0.26","","","","0","","","","","0","14.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
