Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);;;;TIO2(WT%);;;;ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);;;;CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);CEO2(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O3(WT%);NB2O5(WT%);TA2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);;;;MGO(WT%);;;;MNO(WT%);;;;BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);K(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);;;;BE(PPM);B(PPM);F(PPM);S(PPM);CL(PPM);AR40(CCMSTP/G);AR40(MOL/G);CA(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);BR(PPM): altern. values or methods;;;;RB(PPM): altern. values or methods;;;;;;SR(PPM): altern. values or methods;;;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);CD(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);OS(PPT);IR(PPB);PT(PPB);AU(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);BI(PPM);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;;;U(PPM): altern. values or methods;;;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;ND145_ND144;SM147_ND144;SR84_SR86;SR84_SR88;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;HE3_HE4(R/R(A));HE4_HE3;PB206_U238;PB207_U235;PB208_TH232;PB210_RA226_ACT;PB210_U238;RA226_TH230_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U238_PB204;U238_PB206;D7LI(PER MIL);D7LI(VS LSVEC);D11B(PER MIL);D11B(VS NBS951);D13C(PER MIL);D13C(VS PDB);D13C(VS VPDB);D18O(PER MIL);D18O(VS SMOW): altern. values or methods;;;;;;D18O(VS VSMOW);D25MG(VS DSM3);D26MG(VS DSM3);D56FE(VS IRMM-014);D57FE(VS IRMM-014);MY_W182(VS NBS3163): altern. values or methods;;;;MY_W183(VS NBS3163);MY_W184(VS NBS3163);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
2007;[17795] TAPPE S.(2007)  [GeoReM [3527] ];samp. ST103;;MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN;;55.0719;-59.0953;55.0719;-59.0953;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;142000000;142000000;CRETACEOUS;LOWER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);TITANO-MAGNETITE;;MICROPHENOCRYST;RIM;;PRIMARY;;;;;0.145;EMP (EPMA);;;8.129;EMP (EPMA);;;;;;16.572;EMP (EPMA);;;0.014;;;;;;;;0;;;;;;;;59.809;;;;;;10.936;EMP (EPMA);;;0.426;EMP (EPMA);;;;;0.085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;[17795] TAPPE S.(2007)  [GeoReM [3527] ];samp. ST103;;MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN;;55.0719;-59.0953;55.0719;-59.0953;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;142000000;142000000;CRETACEOUS;LOWER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);ILMENITE;;MICROPHENOCRYST;CORE;;PRIMARY;;;;;0.052;EMP (EPMA);;;53.899;EMP (EPMA);;;;;;0.036;EMP (EPMA);;;0.015;;;;;;;;;;;;;;;;36.051;;;;;;7.605;EMP (EPMA);;;1.431;EMP (EPMA);;;;;0.048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;[17795] TAPPE S.(2007)  [GeoReM [3527] ];samp. ST103;;MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN;;55.0719;-59.0953;55.0719;-59.0953;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;142000000;142000000;CRETACEOUS;LOWER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);ILMENITE;;MICROPHENOCRYST;CORE;;PRIMARY;;;;;0.051;EMP (EPMA);;;54.011;EMP (EPMA);;;;;;0.065;EMP (EPMA);;;0.009;;;;;;;;;;;;;;;;35.214;;;;;;7.945;EMP (EPMA);;;1.433;EMP (EPMA);;;;;0.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;[17894] VERWOERD W. J. (1967);samp. WJ 606;;KAAPVAAL CRATON / SOUTH AFRICA / PILANESBERG ALKALINE COMPLEX / GOUDINI;;-25;27;-25;27;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;"ALTERED, NEPHELINE-BEARING, DIKE; ORIGINALLY REPORTED AS ALNÖITE";;;;;;;;;;WHOLE ROCK;;;;;;;;;;;30.46;NOT;;;4.15;NOT;;;;;;7.3;NOT;;;;;;;;;;;;;;;;;;11.72;;2.66;17.92;NOT;;;7.85;NOT;;;0.32;NOT;;;;;;;;;2.55;NOT;;;3.55;NOT;;;1.32;;1.92;0.24;7.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[17924] ARZAMASTSEV A. A. (2001);samp. 1010;445835;MATACHEWAN LARGE IGNEOUS PROVINCE / KHIBINY (KHIBINA) MASSIF;;67.55;33.22;67.88;34.23;;;DRILL HOLE ;1059;1059;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;PALEOZOIC;;;;;;;WHOLE ROCK;;;;;;;;;;;28.01;NOT;;;6.01;NOT;;;;;;6.12;NOT;;;;;;;;;;;;;;;;;;15.57;;5.83;23.43;NOT;;;9.2;NOT;;;0.26;NOT;;;;;;;;;0.86;NOT;;;1.35;NOT;;;0.77;;;;0.49;;0.58;;;;0.04;1.53;;;;;5.97;NOT;;;;;;;;;;;42;NOT;;;;298;NOT;;;158;NOT;;;;;84;278;;;;;;;;;;;;;;;;58.5;NOT;;;;;5933;NOT;;;;;30.5;NOT;;;480;NOT;;;312;NOT;;;;;;;;;;0.79;1063;NOT;;;251;NOT;;;465;NOT;;;49.2;173;NOT;;;23.3;NOT;;;6.2;13.8;1.66;7.85;1.18;2.67;0.29;1.66;0.22;NOT;;;12.5;NOT;;;23.3;;;;;;;;;;;;;;;;;27.9;NOT;;;;;4.45;NOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[17924] ARZAMASTSEV A. A. (2001);samp. 1010;445835;MATACHEWAN LARGE IGNEOUS PROVINCE / KHIBINY (KHIBINA) MASSIF;;67.55;33.22;67.88;34.23;;;DRILL HOLE ;1165;1165;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;PALEOZOIC;;;;;;;WHOLE ROCK;;;;;;;;;;;29.98;NOT;;;2.84;NOT;;;;;;3.58;NOT;;;;;;;;;;;;;;;;;;10.51;;5.18;28.46;NOT;;;16.58;NOT;;;0.29;NOT;;;;;;;;;0.04;NOT;;;0.67;NOT;;;0.37;;;;0.35;;0.16;;;;0.02;0.46;;;;;7.53;NOT;;;;;;;;;;;24;NOT;;;;83.1;NOT;;;1061;NOT;;;;;102;994;;;;;;;;;;;;;;;;1.13;NOT;;;;;539;NOT;;;;;18.3;NOT;;;173;NOT;;;157;NOT;;;;;;;;;;0.03;49.4;NOT;;;128;NOT;;;270;NOT;;;28.9;103;NOT;;;13.3;NOT;;;3.5;7.5;0.9;4.2;0.69;1.64;0.2;1.2;0.18;NOT;;;4.59;NOT;;;15.1;;;;;;;;;;;;;;;;;19.2;NOT;;;;;2.97;NOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;[17932] EBY G. N. (1975);samp. OK-12;;GREAT METEOR (NEW ENGLAND) HOTSPOT TRACK (CONT.) / QUEBEC / MONTEREGIAN HILLS / OKA CARBONATITE COMPLEX;;45.5;-74;45.5;-74;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;CRETACEOUS;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;XRF;;;;;;;;;;;;;;;;;;;;;;;590;XRF;;;1000;XRF;;;110;380;XRF;;;45;XRF;;;3.4;17;2.6;8.7;1.2;3;0;;0;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;[17932] EBY G. N. (1975);samp. A-14-10;;GREAT METEOR (NEW ENGLAND) HOTSPOT TRACK (CONT.) / QUEBEC / MONTEREGIAN HILLS / OKA CARBONATITE COMPLEX;;45.5;-74;45.5;-74;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;CRETACEOUS;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;XRF;;;;;;;;;;;;;;;;;;;;;;;85;XRF;;;130;XRF;;;13;53;XRF;;;9;XRF;;;5;8;1.4;6;0.9;1.8;0;;0;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;[17932] EBY G. N. (1975);samp. OK-12;;GREAT METEOR (NEW ENGLAND) HOTSPOT TRACK (CONT.) / QUEBEC / MONTEREGIAN HILLS / OKA CARBONATITE COMPLEX;;45.5;-74;45.5;-74;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;CRETACEOUS;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CALCITE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;XRF;;;;;;;;;;;;;;;;;;;;;;;70;XRF;;;66;XRF;;;6;21;XRF;;;3;XRF;;;4.5;2.8;0;3.8;0;1.9;0;;0;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;[17932] EBY G. N. (1975);samp. A-14-10;;GREAT METEOR (NEW ENGLAND) HOTSPOT TRACK (CONT.) / QUEBEC / MONTEREGIAN HILLS / OKA CARBONATITE COMPLEX;;45.5;-74;45.5;-74;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;CRETACEOUS;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);BIOTITE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;;;;;;;;;;;;;;;;;;;;28;XRF;;;56;XRF;;;7;31;XRF;;;5;XRF;;;5;4;0;0;0;0;0;;0;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;[17932] EBY G. N. (1975);samp. A-14-10;;GREAT METEOR (NEW ENGLAND) HOTSPOT TRACK (CONT.) / QUEBEC / MONTEREGIAN HILLS / OKA CARBONATITE COMPLEX;;45.5;-74;45.5;-74;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;CRETACEOUS;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;XRF;;;;;;;;;;;;;;;;;;;;;;;16;XRF;;;16;XRF;;;1.9;11;XRF;;;3.3;XRF;;;5;3;0;0;0;0;0;;0;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;[17935] TAYLOR H. P. JR. (1967);samp. AL.37;;BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX;;62.5;17.5;62.5;17.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;ORIGINALLY REPORTED AS ALNÖITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);BIOTITE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;[18011] PEARCE N. J. G. (1997);samp. GGU31838;;GARDAR PROVINCE - GREENLAND / GRONNEDAL-IKA COMPLEX;;61.25;-48.08;61.25;-48.08;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;"DIKE; ORIGINALLY REPORTED AS ALNÖITE";;;PROTEROZOIC;MESO;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.8;ICPMS;;;0.82;;;;;;;;20.6;XRF;;;;170;XRF;;;313;XRF;;;;;57.5;121;47.7;XRF;;;168;XRF;;;23;;;;;;;30.1;XRF;;;;;1340;XRF;;;;;27;XRF;;;98.3;XRF;;;17.6;XRF;;;;;;;;;;1.55;643;XRF;;;28.2;ICPMS;;;57.1;ICPMS;;;7.8;31.8;ICPMS;;;7.03;ICPMS;;;2.43;6.64;0.98;5.73;0.99;2.96;0.39;2.33;0.19;ICPMS;;;2.61;ICPMS;;;0.35;;;;;;;;;;6.68;ICPMS;;;;;;0.75;ICPMS;;;;;0.53;ICPMS;;;;;;;;;;;;;0.70363;;;0.065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.32;;;12.34;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;[18092] LARSEN L. M. (1992);samp. 109824;;NORTH ATLANTIC CRATON / SOUTH GREENLAND / FREDERIKSHAB COMPLEX / FREDERIKSHAB ISBLINK DIKE SWARM;;62.645;-49.975;62.645;-49.975;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;"DIKE; ORIGINALLY REPORTED AS ALNÖITE";;;;;;;;;;WHOLE ROCK;;;;;;;;;;;28.63;XRF;;;2.23;XRF;;;;;;8.9;XRF;;;;;;;;;;;;;;;;;;3.07;;7.73;21.56;XRF;;;3.2;XRF;;;0.49;XRF;;;;;;;;;3.32;XRF;;;3.21;AAS;;;2.31;2.31;;;12.22;;;;;;;;;;;;;;;;;;;;;;;;0;XRF;;;;300;XRF;;;16;XRF;;;;;;13;29;XRF;;;;;;;;;;;;;;110;XRF;;;;;3921;XRF;;;;;82;XRF;;;689;XRF;;;325;XRF;;;;;;;;;;;1830;XRF;;;349;XRF;;;763;XRF;;;;271;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[18122] DUNWORTH E. A. (2001);samp. TU 107;;BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF;;66.583;34.45;66.583;34.45;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;DIKE;;;DEVONIAN;;;;;;;WHOLE ROCK;;;;;;;;;;;36.51;XRF;;;3;XRF;;;;;;8.72;XRF;;;;;;;;;;;;;;;;;12.42;;;;21.93;XRF;;;7.23;XRF;;;0.19;XRF;;;;;;;;;1.72;XRF;;;2.48;XRF;;;0.3;;;;;;;;;;;5.4;;;;;;;;;;;;;;;;;;;;;;216;ICPMS;;;;;;;;;57.7;;595;ICPMS;;;167;ICPMS;;;18;1.2;8;;;;;62;ICPMS;;;;;1270;ICPMS;;;;;18;ICPMS;;;294;ICPMS;;;111;ICPMS;;;0.53;;;;;1.4;0.38;1.45;518;ICPMS;;;107;ICPMS;;;219;ICPMS;;;21.2;85.6;ICPMS;;;12.3;ICPMS;;;3.16;8.4;0.9;4.02;0.64;1.55;0.13;0.76;0.13;ICPMS;;;6.73;ICPMS;;;7.26;1.2;;;;;;;;0.22;9;ICPMS;;;;0.19;;8.6;ICPMS;;;;;1.86;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[18122] DUNWORTH E. A. (2001);samp. OM1;;BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF;;66.583;34.45;66.583;34.45;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;DEVONIAN;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.67;TIMS_ID;;;;;441;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.56;TIMS_ID;;;9.03;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51261;;;;;;;;0.70629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[18122] DUNWORTH E. A. (2001);samp. OM129;;BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF;;66.583;34.45;66.583;34.45;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;;;;DEVONIAN;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.62;TIMS_ID;;;;;1310;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.63;TIMS_ID;;;8.36;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51263;;;;;;;;0.70635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[18133] CHERNYSHEVA E. A. (1995);samp. 018/2;;CENTRAL ASIAN FOLDBELT - PROTEROZOIC / SIBERIA_PROTEROZOIC / IRKUT BLOCK / PRISAYAN^E CARBONATITE MASSIF;;52;104;52;104;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, BIOTITE;;DIKE;;;PROTEROZOIC;;;;;;;WHOLE ROCK;;;;;;;;;;;32.38;XRF;;;3.79;XRF;;;;;;9.48;XRF;;;;;;;;;;;;;;;;;;4.88;;8.44;16.25;XRF;;;6.52;XRF;;;0.23;XRF;;;;;;;;;4.97;XRF;;;0.69;XRF;;;1.86;;;;8.3;;;;;;;10.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115;NOT;;;;;927.6;NOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.70706;;;0.3521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
