Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;SAMPLE COMMENT;GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);FE2O3T(WT%);FEOT(WT%);CAO(WT%);MGO(WT%);MNO(WT%);K2O(WT%);NA2O(WT%);P2O5(WT%);LOI(WT%);LI(PPM);SC(PPM);V(PPM);CR(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);RB(PPM);SR(PPM);Y(PPM);ZR(PPM);NB(PPM);BA(PPM);LA(PPM);CE(PPM);PR(PPM);ND(PPM);SM(PPM);EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);PB(PPM);TH(PPM);U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;PB207_PB206;PB206_U238;PB207_U235;D56FE(VS IRMM-014);AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-12;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04891;0.02039;0.13748;;161;131;130;
2019;[28552] TROLL V. R. (2019);samp. 83/CRS/6;;ANATOLIA-IRAN BELT / CYPRUS / CENTRAL ANATOLIAN VOLCANIC BELT / TROODOS MASSIF;AGROS, CENTRAL PART OF THE COMPLEX;34.92;33.02;34.92;33.02;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DYKE;MESOZOIC-CENOZOIC;;MINERAL / COMPONENT (INCL. GROUNDMASS);MAGNETITE;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.34;;;;
2024;[28553] KLÜGEL A. (2024);samp. 22839-1C;;CANARY ISLANDS / HENRY;;27.3374;-17.7675;27.3374;-17.7675;-3060;-3060;DREDGE;SUBAQUATIC;VOLCANIC ROCK;DOLERITE;IEKLA0008 FRAGMENT;PLEISTOCENE;UPPER;MINERAL / COMPONENT (INCL. GROUNDMASS);GROUNDMASS;;PRIMARY;46.3286132277096;2.73554834271992;12.9186373383504;;11.692950872558;14.6159407398035;7.38776225038422;0.171438750739296;0.72148835747858;2.94322908509954;0.484391035156986;;;;403.907005364875;188.809445540897;52.4874701171652;106.525553171902;132.272758076559;126.121967810482;;8.96037435023354;467.548021779995;25.857627458228;177.056388505512;28.5403293747325;157.173275180401;22.2526997943349;51.2383118537305;6.86103213664804;30.0114937941676;7.48193193009134;2.3339378525674;7.16687038481021;1.0103991793012;5.89991274671686;1.05618558477999;2.76685093018049;0.358884453499675;2.19730206532575;0.320094741603823;5.06456388771545;1.68633793710513;2.19450510580955;1.97036421590509;0.576331403651592;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Download from GEOROC - Geochemical Database;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date of Query: Friday;April 11;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note: There is a List of your Query Criteria at the End of this Sheet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
References:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[27384] WANG YI-NAN, CHEN SHENG-SHENG:   EARLY CRETACEOUS MAFIC ROCKS IN THE TETHYAN HIMALAYA IGNEOUS PROVINCE, TIBET: IMPLICATIONS FOR THE EASTERN GONDWANA BREAKUP |  J. ASIAN EARTH SCI. 264 (106066)   [2024]   | doi: 10.1016/j.jseaes.2024.106066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[28552] TROLL V. R., WEIS F. A., JONSSON E., ANDERSSON U. B., MAJIDI S. A., HÖGDAHL K., HARRIS C., MILLET M.-A., CHINNASAMY S. S., KOOIJMAN E., NILSSON K. P.:   GLOBAL FE-O ISOTOPE CORRELATION REVEALS MAGMATIC ORIGIN OF KIRUNA-TYPE APATITE-IRON-OXIDE ORES |  NATURE COMMUNICATIONS 10 (1712)   [2019]   | doi: 10.1038/s41467-019-09244-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[28553] KLÜGEL A., HAUFF F., BEIER C., PFÄNDER J. A., FREUNDT A., RÖMER M., SCHÖNHOFEN-ROMER M.:   LATE-PLEISTOCENE REJUVENATED VOLCANISM AND FLANK COLLAPSE DEPOSITS ON A CRETACEOUS SEAMOUNT NEAR EL HIERRO, CANARY ARCHIPELAGO |  MAR. GEOL. 472 (107301)   [2024]   | doi: 10.1016/j.margeo.2024.107301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criteria:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QUERY - BY - PETROGRAPHY: -  - - - VOLCANIC - ROCKS - - - DOLERIT.../ - - - SAMPLE - CRITERIA - (COMBINED - WITH - OR): - - - MINERAL - / - COMPONENT: - GROUNDMASS - / - MAGNETITE - / - ZIRCON - - - SAMPLE - NAME: - 15ZG07-1 - / - 15ZG07-2 - / - 15ZG07-3 - / - 15ZG07-4 - / - 15ZG07-5 - / - 15ZG07-6 - / - 15ZG07-7 - / - 15ZG07-8 - / - 15ZG07-9 - / - 22839-1C - / - 83/CRS/6 - - - SAMPLING - TECHNIQUE: - DREDGE - / - OUTCROP - - - ROCK - TYPE: - VOLCANIC - ROCK - - - ELEVATION - (MIN.): - -3060 - - - ELEVATION - (MAX.): - -3060 - - - LAND/SEA - (SAMPLING): - SUBAERIAL - / - SUBAQUATIC - - - ROCK - NAME: - DOLERITE - - - TYPE - OF - MATERIAL: - MINERAL - / - COMPONENT - (INCL. - GROUNDMASS) - / - WHOLE - ROCK -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
