Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,TYPE OF MATERIAL,MINERAL / COMPONENT,CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),SO3(WT%),LOI(WT%),K(WT%): altern. values or methods,,,,F(PPM),AR40(CCMSTP/G): altern. values or methods,,,,SC(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),SN(PPM),SB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),HG(PPB),PB(PPM),TH(PPM),U(PPM),ND143_ND144,SM147_ND144,SR87_SR86: altern. values or methods,,,,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,ALBITE(MOL%),ANORTHITE(MOL%),ENSTATITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),MAGNETITE(MOL%),ORTHOCLASE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA): altern. values or methods,,,
1977, [1315] FITTON J. G. (1977),samp. P12,10622,CAMEROON LINE / PRINCIPE,"OS DOIS IRMAOS, SOUTHEAST SIDE OF PRINCIPE",1.62,7.45,1.62,7.45,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,RIM,PRIMARY,48.2,0.89,3.66,,,,,14.15,,20.53,8,0.64,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN70,6976,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,51.75,2.43,17.27,,,,3.73,,6.04,7.26,3.26,0.22,,,,,2.88,4.24,1.04,,0.23,0.15,,,,,,,,,,,,,,,,185,22,21,10,17,210,,,70,1070,42,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN71,6973,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,52.2,2.13,17.27,,,,2.93,,6.17,7.1,2.75,0.21,,,,,3.15,4.3,1.07,,0.11,0.08,,,,,,,,,,1720,,,,,,156,13,18,1,13,197,,,71,1011,43,396,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN89,6985,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,52.4,2.12,17.56,,,,5.06,,3.59,6.22,2.63,0.2,,,,,3.88,4.76,0.94,,0.1,0.1,,,,,,,,,,,,,,,,187,33,17,10,13,178,,,84,941,44,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN175,,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,54.6,1.95,17.61,,,,2.52,,4.81,5.24,2.33,0.21,,,,,4.47,4.98,0.76,,0.13,0.05,,,,,,,,,,,,,,,,150,24,18,15,12,156,,,100,964,47,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN82,6979,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,56.95,1.32,18.31,,,,2.13,,4.2,4.82,1.63,0.23,,,,,3.95,5.1,0.54,,0.09,0.1,,,,,,,,,,1190,,,,,,40,19,10,5,24,134,,,103,966,43,532,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN37,6980,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,WHOLE ROCK,,,,,56.05,1.4,17.9,,,,5.71,,0.93,3.3,1.36,0.2,,,,,6.14,4.66,0.37,,0.92,0.4,,,,,,,,,,,,,,,,188,17,14,24,14,206,,,159,568,51,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN89,6985,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,,,PRIMARY,37.68,0.05,0.06,0,,,,25.87,,0.19,35.11,0.67,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN175,,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,PRIMARY,51.71,0.45,1.5,0.02,,,,9.53,,21.41,12.86,1.27,,,,,0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, [1321] IMSLAND P. (1984),samp. JAN37,6980,JAN MAYEN / JAN MAYEN,,71,-8.5,71,-8.5,OUTCROP,SUBAERIAL,VOLCANIC ROCK,TRISTANITE,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,PRIMARY,49.44,0.98,3.92,0.15,,,,7.18,,22.38,14.11,0.42,,,,,0.02,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
