"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","S(PPM)","CL(PPM)","AR40(AT/G)","AR40(CCMSTP/G)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","ND143_ND144_INI","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","AR40_AR39","D18O(VS SMOW)","D18O(VS VSMOW)","ALBITE(MOL%)","ANORTHITE(MOL%)","ENSTATITE(MOL%)","FERROSILITE(MOL%)","ORTHOCLASE(MOL%)","WOLLASTONITE(MOL%)","AGE(MA): altern. values or methods","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. E.868","23015","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF PLUG","","","VOLCANIC GLASS","","","","","69.8","0.29","12.6","","","","1.2","","1.7","0.92","0.32","0.1","","","3.2","5.2","0.04","","4","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. G.151","23016","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY MARGIN","","","VOLCANIC GLASS","","","","","69.8","0.34","12.9","","","","0.7","","2.4","1.7","0.21","0.08","","","3.1","4.8","0.07","","3.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. P.258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","VOLCANIC GLASS","","","","","64.4","0.69","12.7","","","","1.7","","3.8","1.9","0.66","0.21","","","3.7","4.9","0.11","","4.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. P.186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","VOLCANIC GLASS","","","","","72.1","0.25","12.3","","","","0.9","","1.4","1","0.13","0.06","","","3.8","4.6","0.02","","3","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. G.87","23014","ICELAND / ICELAND / THINGMULI","","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF ACID LAVA","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","3G","","PRIMARY","69","0.37","10.9","","","","1.2","","1.8","1.6","0.4","0.11","","","1.8","4.1","0.06","","4.9","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. E.868","23015","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF PLUG","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","4G","","PRIMARY","71.5","0.22","12.2","","","","0.9","","1.7","0.62","0.21","0.09","","","3.5","5","0.02","","4.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. G.151","23016","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY MARGIN","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","6G","","PRIMARY","72.3","0.22","12.1","","","","0.4","","1.4","1","0.09","0.05","","","3.5","4.9","0.04","","3.8","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. P.258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","7G","","PRIMARY","67","0.55","12.2","","","","1.2","","3.9","1.4","0.32","0.2","","","4.4","3.9","0.11","","4.3","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. P.186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","8G","","PRIMARY","74.2","0.19","11.6","","","","0.6","","1","0.71","0.04","0.05","","","4.2","4.3","0.04","","2.8","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. E.868","23015","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF PLUG","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PYROXENE","4","","PRIMARY","49.25","0.49","1.04","","","","2.03","","19.54","19.09","7.42","1.28","","","0.05","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. G.151","23016","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY MARGIN","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PYROXENE","6","","PRIMARY","48.76","0.47","0.99","","","","3.36","","19.42","19.47","5.93","0.73","","","0.11","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
