Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CUO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);;;;CL(WT%);SO3(WT%);S(WT%);LOI(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);;;;CR(WT%);HE4(CCMSTP/G);;;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);;;;;;P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);;;;;;AR39(MOL/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G): altern. values or methods;;;;AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM): altern. values or methods;;;;W(PPM): altern. values or methods;;;;OS(PPB);IR(PPB);PT(PPB);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;;;PB210_ACT(DPM/G): altern. values or methods;;;;BI(PPM);RA226(PPQ);RA226_ACT(DPM/G): altern. values or methods;;;;TH(PPM): altern. values or methods;;;;TH232(PPM);U(PPM): altern. values or methods;;;;U238(PPM);ND143_ND144: altern. values or methods;;;;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86: altern. values or methods;;;;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;OS187_OS188;HF176_HF177;HF178_HF177;EPSILON_HF_INI;LU176_HF177;YB176_HF177;HE3_HE4(R/R(A));HE4_HE3;AR36_AR39;AR37_AR39;AR38_AR36: altern. values or methods;;;;;;AR38_AR39;AR40_AR36: altern. values or methods;;;;;;AR40_AR39;AR40_K40;NE20_NE22: altern. values or methods;;;;;;NE21_NE22: altern. values or methods;;;;;;PB206_U238;PB207_U235;PB210_RA226: altern. values or methods;;;;RA226_TH230;RA226_TH230_ACT;RA226_U238;RA228_TH232;PA231_U235_ACT;TH228_TH232;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;CL36_CL;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);CELSIAN(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);KALSILITE(MOL%);LARNITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);TSCHERMAKITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-066;;;PRIMARY;;;;;46.729;;;;;33.013;;;;;;;;;;;;0.522;;17.036;;;0.025;0.151;;;;;0.051;EMP (EPMA);;;1.789;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.9199920882164;;83.7808435939277;;;;;;;;;;;;;;;;0.299164317855907;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-067;;;PRIMARY;;;;;50.143;;;;;30.844;;;;;;;;;;;;0.553;;14.461;;;0.017;0.147;;;;;0.127;EMP (EPMA);;;3.251;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.7037954613022;;70.5579229015955;;;;;;;;;;;;;;;;0.738281637102368;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-068;;;PRIMARY;;;;;49.966;;;;;31.005;;;;;;;;;;;;0.564;;14.705;;;0.003;0.145;;;;;0.112;EMP (EPMA);;;3.065;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.2081901061127;;72.1367010411996;;;;;;;;;;;;;;;;0.65510885268769;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-069;;;PRIMARY;;;;;50.367;;;;;30.703;;;;;;;;;;;;0.539;;14.251;;;0.02;0.157;;;;;0.151;EMP (EPMA);;;3.23;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.8282423635453;;70.2854281422133;;;;;;;;;;;;;;;;0.886329494241362;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-070;;;PRIMARY;;;;;53.349;;;;;28.429;;;;;;;;;;;;0.541;;11.828;;;0.016;0.168;;;;;0.278;EMP (EPMA);;;4.581;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.5395297813458;;57.8423795158194;;;;;;;;;;;;;;;;1.61809070283478;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-071;;;PRIMARY;;;;;55.595;;;;;27.234;;;;;;;;;;;;0.47;;10.154;;;0.036;0.145;;;;;0.364;EMP (EPMA);;;5.521;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5495839892062;;49.344127126902;;;;;;;;;;;;;;;;2.10628888389176;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-072;;;PRIMARY;;;;;54.987;;;;;27.293;;;;;;;;;;;;0.525;;10.249;;;0.004;0.135;;;;;0.362;EMP (EPMA);;;5.377;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.6733999148957;;50.214012164902;;;;;;;;;;;;;;;;2.11258792020225;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-073;;;PRIMARY;;;;;50.771;;;;;30.433;;;;;;;;;;;;0.694;;13.61;;;0;0.146;;;;;0.206;EMP (EPMA);;;3.541;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.6220890883112;;67.1671721855965;;;;;;;;;;;;;;;;1.2107387260923;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-074;;;PRIMARY;;;;;53.011;;;;;29.23;;;;;;;;;;;;0.593;;12.119;;;0.021;0.163;;;;;0.245;EMP (EPMA);;;4.388;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.0170208480209;;59.550307180985;;;;;;;;;;;;;;;;1.43267197099406;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV20;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;POGHOROVURAGHALA FAN;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;14-075;;;PRIMARY;;;;;50.031;;;;;30.953;;;;;;;;;;;;0.515;;14.389;;;0.009;0.188;;;;;0.169;EMP (EPMA);;;3.055;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.4782039006199;;71.5214433301416;;;;;;;;;;;;;;;;1.00035276923852;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-067;;;PRIMARY;;;;;51.952;0.018;;;;29.536;0.036;;;;;;;;;;;0.728;;12.789;0.127;0.025;;;0.014;;;;0.225;EMP (EPMA);;;3.751;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.2059909725072;;64.4480919162905;;;;;;;;;;;;;;;;1.3459171112023;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-070;;;PRIMARY;;;;;49.057;0.029;;;;31.478;0.016;;;;;;;;;;;0.666;;15.1;0.052;0.037;;;0.015;;;;0.132;EMP (EPMA);;;2.647;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.8944480309877;;75.322788896062;;;;;;;;;;;;;;;;0.78276307295029;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-080;;;PRIMARY;;;;;51.41;0.005;;;;30.057;0.02;;;;;;;;;;;0.572;;13.882;0.063;0;;;0.016;;;;0.169;EMP (EPMA);;;3.516;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.1182108626198;;67.8993610223642;;;;;;;;;;;;;;;;0.982428115015974;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-082;;;PRIMARY;;;;;47.962;0;;;;32.439;0;;;;;;;;;;;0.578;;16.343;0.024;0.023;;;0.011;;;;0.087;EMP (EPMA);;;2.112;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.8548155246766;;80.6340840121386;;;;;;;;;;;;;;;;0.511100463184795;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-084;;;PRIMARY;;;;;49.459;0;;;;31.202;0.02;;;;;;;;;;;0.986;;14.82;0.185;0.059;;;0;;;;0.285;EMP (EPMA);;;2.659;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0939379164635;;74.2077035592394;;;;;;;;;;;;;;;;1.69835852429709;;;;;;;;;;;;;;;;;;;;;;;;
2009;[13787] SMITH D. J.(2009)  [GeoReM [4914] ];samp. SV45;;SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - CENTRAL PROVINCE / SAVO;FLANK PAGHALULA CRYPTODOME;-9.17;159.83;-9.17;159.83;;;OUTCROP;;;SUBAQUATIC;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;11-086;;;PRIMARY;;;;;47.862;0.052;;;;31.185;0.006;;;;;;;;;;;0.809;;14.827;0.148;0;;;0.031;;;;0.1;EMP (EPMA);;;2.232;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.2751733934988;;78.0981031169048;;;;;;;;;;;;;;;;0.62672348959639;;;;;;;;;;;;;;;;;;;;;;;;
