Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);V2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);CL2(WT%);SO3(WT%);S(WT%);LOI(WT%);O(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%): altern. values or methods;;;;NA(WT%);CR(WT%);NI(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G): altern. values or methods;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);NE22(CCMSTP/G);P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM): altern. values or methods;;;;;;NI(PPM): altern. values or methods;;;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);KR84(CCMSTP/G);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);IN(PPM);SN(PPM);SB(PPM);XE132(CCMSTP/G);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB): altern. values or methods;;;;RE(PPT);OS(PPB): altern. values or methods;;;;OS(PPT);IR(PPB);PT(PPB);AU(PPB);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);TH(PPM): altern. values or methods;;;;TH(PPB);U(PPM): altern. values or methods;;;;U(PPB);CO2(PPM);H2O(PPM);ND143_ND144;ND148_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB207;PB206_PB208;PB207_PB204: altern. values or methods;;;;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB206;OS187_OS186;OS187_OS188: altern. values or methods;;;;RE187_OS188: altern. values or methods;;;;HF176_HF177;HE3_HE4;HE3_HE4(R/R(A)): altern. values or methods;;;;HE4_HE3: altern. values or methods;;;;;;HE4_HE3(R/R(A)): altern. values or methods;;;;AR38_AR36;AR40_AR36;NE20_NE22;NE21_NE22;XE129_XE132;PB206_U238;PB207_U235;PB210_U238;TH232_U238;U238_PB204;D13C(VS SMOW);D17O(VS VSMOW);D18O(PER MIL);D18O(VS PDB);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D56FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);LARNITE(MOL%);ORTHOCLASE(MOL%);PSEUDOBROOKITE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2015;[19412] CHATTERJEE N. (2015);samp. MMF7;;DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - POLADPUR FORMATION;POWAI QUARRY WEST SIDE, POLADPUR MEMBER, COASTAL DIKE SWARM;19.1167;72.9167;19.1167;72.9167;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;CRETACEOUS;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SMECTITE;;;;;SECONDARY;;;;;;;;52.04;0.01;3.78;0;;;;;12;;0.85;23.53;0.03;;;0.05;;;0.09;EMP (EPMA);;;0.07;EMP (EPMA);;;0;7.75;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19412] CHATTERJEE N. (2015);samp. MMF7;;DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - POLADPUR FORMATION;POWAI QUARRY WEST SIDE, POLADPUR MEMBER, COASTAL DIKE SWARM;19.1167;72.9167;19.1167;72.9167;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;CRETACEOUS;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);GROUNDMASS;;;;;PRIMARY;;;;;;;;49.55;1.43;14.33;0.04;;;;;10.65;;8.37;9.44;0.16;;;0.02;;;0.59;EMP (EPMA);;;2.54;EMP (EPMA);;;0.18;3.69;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19412] CHATTERJEE N. (2015);samp. MMF7;;DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - POLADPUR FORMATION;POWAI QUARRY WEST SIDE, POLADPUR MEMBER, COASTAL DIKE SWARM;19.1167;72.9167;19.1167;72.9167;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;CRETACEOUS;;;;;INCLUSION;;;;;;;GLASS INCLUSION;;;;OLIVINE;FALSE;;53.32;2.21;16.88;0.06;;;;;6.88;;13.01;3.16;0.13;;;0.02;;;0.71;EMP (EPMA);;;3.18;EMP (EPMA);;;0.28;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. NER57;;CANARY ISLANDS / TENERIFE;NORTHEAST RIFT ZONE;28;-16.1;28.6;-16.9;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;WITH ABUNDANT PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;46.53;3.29;6.58;0.02;;;;;6.41;;23.2;12.6;0.12;;;;;;0;EMP (EPMA);;;0.48;EMP (EPMA);;;;0.0107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. NER57;;CANARY ISLANDS / TENERIFE;NORTHEAST RIFT ZONE;28;-16.1;28.6;-16.9;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;WITH ABUNDANT PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;46.57;3.15;6.15;0.01;;;;;6.19;;23.27;12.98;0.08;;;;;;0;EMP (EPMA);;;0.42;EMP (EPMA);;;;0.0044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. EH-ANK;;CANARY ISLANDS / EL HIERRO / LOMO NEGRO;;27.8;-18;27.8;-18;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;PAHOEHOE LAVA FLOW DARK, SLIGHTLY VESICULAR, PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;48.31;2.36;5.64;0.1;;;;;6.87;;22.06;13.58;0.1;;;;;;0.01;EMP (EPMA);;;0.59;EMP (EPMA);;;;0.0092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. EH-ANK;;CANARY ISLANDS / EL HIERRO / LOMO NEGRO;;27.8;-18;27.8;-18;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;PAHOEHOE LAVA FLOW DARK, SLIGHTLY VESICULAR, PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;48.03;2.52;5.48;0.05;;;;;6.62;;22.6;13.35;0.1;;;;;;0;EMP (EPMA);;;0.55;EMP (EPMA);;;;0.0063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. EH-ANK;;CANARY ISLANDS / EL HIERRO / LOMO NEGRO;;27.8;-18;27.8;-18;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;PAHOEHOE LAVA FLOW DARK, SLIGHTLY VESICULAR, PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;48.09;2.43;5.62;0.05;;;;;6.66;;22.47;13.3;0.08;;;;;;0.01;EMP (EPMA);;;0.56;EMP (EPMA);;;;0.0052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19712] WEIS F. A. (2015);samp. EH-ANK;;CANARY ISLANDS / EL HIERRO / LOMO NEGRO;;27.8;-18;27.8;-18;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;PAHOEHOE LAVA FLOW DARK, SLIGHTLY VESICULAR, PYROXENE AND OLIVINE PHENOCRYSTS;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;40.24;5.03;8.76;0.08;;;17.78;;;;11.46;13.39;0.19;;;;;;0.83;ICPOES;;;2;ICPOES;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19718] ANCOCHEA E. (2015);samp. L15;;CAPE VERDE ISLANDS / SANTA LUZIA;CHA DE RIBEIRA DE TATE;16.77;-24.75;16.77;-24.75;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;OLD VOLCANIC EDIFICE, LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);GROUNDMASS;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.59;NOT;;;;;;;;;;;;;;;;;;;;;;1.5E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.6;K-AR;;;;;;;;;;
2015;[19718] ANCOCHEA E. (2015);samp. L1;;CAPE VERDE ISLANDS / SANTA LUZIA;MONTE DE PRAINHA BRANCA;16.77;-24.75;16.77;-24.75;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;OLD VOLCANIC EDIFICE, LAVA FLOW;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);GROUNDMASS;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;NOT;;;;;;;;;;;;;;;;;;;;;;6E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;K-AR;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;WHOLE ROCK;;;;;;;;;;;;;;45.43;0.17;6.6;;;;9.41;;;;16.79;17.7;0.2;;;;;;0.01;NOT;;;0.1;NOT;;;0.11;;;;;;;;;;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.1;ICPMS_LA;;;;;;139;ICPMS_LA;;;686;ICPMS_LA;;;;;51.8;ICPMS_LA;;;;;281;ICPMS_LA;;;;;42.3;ICPMS_LA;;;45.7;ICPMS_LA;;;4.66;ICPMS_LA;;;1.7;;;0.37;ICPMS_LA;;;25.8;ICPMS_LA;;;3.8;ICPMS_LA;;;9.9;ICPMS_LA;;;0.38;ICPMS_LA;;;;;;;;;;;;10.5;ICPMS_LA;;;2.36;ICPMS_LA;;;4.72;ICPMS_LA;;;0.6;ICPMS_LA;;;2.73;ICPMS_LA;;;0.66;ICPMS_LA;;;0.2;ICPMS_LA;;;0.68;0.1;ICPMS_LA;;;0.71;0.15;0.48;0.07;0.46;ICPMS_LA;;;0.07;0.27;ICPMS_LA;;;;;;;;;;;;;;;;;;;;2.15;ICPMS_LA;;;;0.66;ICPMS_LA;;;;0.31;ICPMS_LA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;0.16;5;63.7;;;;5.3;;14.5;;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;ICPMS_LA;;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;0.16;4.7;64;;;;5.2;;14.6;;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;ICPMS_LA;;;;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;0.18;4.7;63.7;;;;5.2;;15.2;;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;127;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;ICPMS_LA;;;;17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;0.16;5;64.4;;;;;;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;ICPMS_LA;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;ICPMS_LA;;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;ICPMS_LA;;;;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;[19759] KAMENETSKY V. S. (2015);samp. PE-1466;;URALS / NORTH URALS / MAIN URAL FAULT ZONE;30 KM NW OF UCHALY;54.3;59.5;54.3;59.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;DEVONIAN;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CHROME-SPINEL;;PHENOCRYST;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;65;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;ICPMS_LA;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
