Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),INCLUSION SIZE,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),CACO3(WT%),C(WT%),F(WT%),CL(WT%),OH(WT%),SO2(WT%),SO3(WT%),S(WT%): altern. values or methods,,,,LOI(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CO(WT%),CU(WT%),NI(WT%),ZN(WT%),HE(MOL/G),HE4(CCMSTP/G),LI(PPM),BE(PPM),B(PPM),F(PPM),NE(MOL/G),P(PPM),S(PPM),CL(PPM),AR(MOL/G),AR40(AT/G),AR40(CCMSTP/G),AR40(MOL/G),AR40(PPB),K(PPM),SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CR52(PPM),CR53(PPM),MN(PPM),CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,NI60(PPM),NI62(PPM),CU(PPM): altern. values or methods,,,,CU63(PPM),CU65(PPM),ZN(PPM): altern. values or methods,,,,ZN66(PPM),ZN67(PPM),GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),RU(PPB),RU(PPT),RH(PPB),RH(PPT),PD(PPB),PD(PPT),AG(PPM),AG(PPB),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),RE(PPB),RE(PPT),OS(PPB),IR(PPB),IR(PPT),PT(PPB),PT(PPT),AU(PPM),AU(PPB),HG(PPM),HG(PPB),TL(PPM),PB(PPM): altern. values or methods,,,,PB206(PPM),BI(PPM),TH(PPM): altern. values or methods,,,,TH232(PPM),U(PPM): altern. values or methods,,,,U238(PPM),CO2(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,YB176_HF177,HE3_HE4(R/R(A)),HE4_NE20,AR36_AR39,AR37_AR39,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,RA226_U238,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D11B(PER MIL),D11B(VS NBS951),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),DD(VS SMOW),ALBITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),HEDENBERGITE(MOL%),JADEITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),TSCHERMAKITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA)
2020, [24534] YARMOLYUK V. V. (2020),samp. VG-7/50,,CENTRAL ASIAN FOLDBELT - MESOZOIC / MONGOLIA - MESOZOIC / EASTERN MONGOLIA,,46.788724,115.048776,46.788724,115.048776,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LILAC FINE GRAINED LATITE,,,MESOZOIC,,,,,WHOLE ROCK,,,,,,,,,,,,,,57.57,1.72,,16.34,,,,8.51,,,,4.53,0.62,0.031,,,,,,,2.99,4.19,0.85,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,,1.53435143191477,,,,,,,,,,,,,16.0680653097104,ICPMS,,,,151.262604108969,ICPMS,,,84.6468262258421,ICPMS,,,,,,13.06207385548,ICPMS,,,32.0441115118653,ICPMS,,,,,,,,,,,,,,,,,26.9871884081684,ICPMS,,,,,,,55.3844153124859,ICPMS,,,,,1064.59354368437,ICPMS,,,,,18.6477359284315,ICPMS,,,364.242204241196,ICPMS,,,21.7017171889879,ICPMS,,,,,,,,,,,,,,,,,,1201.90325762603,ICPMS,,,62.7253069801176,ICPMS,,,127.680917489452,ICPMS,,,15.6462284149616,58.9035428878537,ICPMS,,,,,10.162569720141,ICPMS,,,2.7229876517203,7.25349132383569,0.886997208248457,4.11066744401869,0.679916953368708,1.78625296863345,0.222608961829801,1.37298899189278,0.195350044915135,7.83246332723656,1.00840999082616,,,,,,,,,,,,,,,,,,,,,3.52931240305588,ICPMS,,,,0.964610444573942,ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020, [24534] YARMOLYUK V. V. (2020),samp. SG-4/32,,CENTRAL ASIAN FOLDBELT - MESOZOIC / MONGOLIA - MESOZOIC / EASTERN MONGOLIA,,46.12863,107.12539,46.12863,107.12539,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,PATCHY BROWN FINE GRAINED LATITE,,,MESOZOIC,,,,,WHOLE ROCK,,,,,,,,,,,,,,58.73,1.559,,15.17,,,,6.97,,,,4.671,2.575,0.12,,,,,,,3.532,3.81,0.793,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [24679] ALFARO A. (2021),samp. U031702,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA,"UTYUM PEAK, TALAMANCA CORDILLERA",9.3247891,-83.1843205,9.3247891,-83.1843205,2900,2900,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITICAPHANITIC,,,,NEOGENE,,,,,WHOLE ROCK,,,,,,,,,,,,,,57.33,0.57,,20.37,,,,,4.85,4.36403,,5.65,1.53,0.11,,,,,,,4.47,3.79,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.76,ICPMS_LA,,,,100.09,ICPMS_LA,,,1.47,ICPMS_LA,,,,,,10.27,ICPMS_LA,,,2.94,ICPMS_LA,,,,,46.34,ICPMS_LA,,,,,104.13,ICPMS_LA,,,,,31.87,ICPMS_LA,,,1.38,,,,118.95,ICPMS_LA,,,,,1826.55,ICPMS_LA,,,,,21.96,ICPMS_LA,,,228.42,ICPMS_LA,,,18.85,ICPMS_LA,,,5.4,,,,,,,,,0.2,,1.67,,,1.23,1833.61,ICPMS_LA,,,54.25,ICPMS_LA,,,103.89,ICPMS_LA,,,11.04,41.73,ICPMS_LA,,,,,6.92,ICPMS_LA,,,1.99,5.09,0.65,3.55,0.69,1.81,0.26,1.73,0.26,5.34,0.9,1.75,,,,,,,,,,,,,,14.47,ICPMS_LA,,,,,16.46,ICPMS_LA,,,,5.69,ICPMS_LA,,,,,0.512988795577014,,,,0.70376,,,,19.0688040945497,15.5677891535054,,38.7830873387642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [24679] ALFARO A. (2021),samp. D031705,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA,"SUR� PEAK, TALAMANCA CORDILLERA",9.353335,-83.2861498,9.353335,-83.2861498,2700,2700,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITIC APHANITIC,,,,NEOGENE,,,,,WHOLE ROCK,,,,,,,,,,,,,,58.69,0.57,,21.59,,,,,4.86,4.373028,,6.45,1.57,0.1,,,,,,,4.51,3.66,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,ICPMS_LA,,,,102.49,ICPMS_LA,,,0.6,ICPMS_LA,,,,,,9.87,ICPMS_LA,,,6.47,ICPMS_LA,,,,,48.44,ICPMS_LA,,,,,90.57,ICPMS_LA,,,,,29.13,ICPMS_LA,,,1.04,,,,125.16,ICPMS_LA,,,,,1744.62,ICPMS_LA,,,,,20.83,ICPMS_LA,,,210.52,ICPMS_LA,,,18.36,ICPMS_LA,,,1.5,,,,,,,,,0.18,,1.34,,,1.12,1639.42,ICPMS_LA,,,53.99,ICPMS_LA,,,102.03,ICPMS_LA,,,11.63,42.98,ICPMS_LA,,,,,7.61,ICPMS_LA,,,1.99,5.49,0.72,3.25,0.66,1.67,0.23,1.54,0.23,4.93,0.96,2.9,,,,,,,,,,,,,,16.71,ICPMS_LA,,,,,15.5,ICPMS_LA,,,,5.34,ICPMS_LA,,,,,0.512995320766805,,,,0.7037785,,,,19.0702361184466,15.5693696691281,,38.7884378628742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [24679] ALFARO A. (2021),samp. D031706,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA,"SUR� PEAK, TALAMANCA CORDILLERA",9.3603769,-83.2899317,9.3603769,-83.2899317,2820,2820,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITIC APHANITIC,,,,NEOGENE,,,,,WHOLE ROCK,,,,,,,,,,,,,,58.18,0.56,,21.29,,,,,4.84,4.355032,,6.24,1.5,0.11,,,,,,,4.23,3.89,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25,ICPMS_LA,,,,100.53,ICPMS_LA,,,0.86,ICPMS_LA,,,,,,9.14,ICPMS_LA,,,9.97,ICPMS_LA,,,,,49.51,ICPMS_LA,,,,,100.36,ICPMS_LA,,,,,30.05,ICPMS_LA,,,1.03,,,,114.37,ICPMS_LA,,,,,1730.21,ICPMS_LA,,,,,20.22,ICPMS_LA,,,204.24,ICPMS_LA,,,17.48,ICPMS_LA,,,4.18,,,,,,,,,0.19,,2.23,,,1.34,1685.01,ICPMS_LA,,,51.87,ICPMS_LA,,,102,ICPMS_LA,,,11.72,42.3,ICPMS_LA,,,,,6.9,ICPMS_LA,,,2.03,5.12,0.67,3.22,0.65,1.69,0.26,1.7,0.25,4.75,0.83,2.67,,,,,,,,,,,,,,14.81,ICPMS_LA,,,,,15.25,ICPMS_LA,,,,5.28,ICPMS_LA,,,,,0.5128499676045,,,,0.703763,,,,19.069162509678,15.5663057370198,,38.7791567099894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [24679] ALFARO A. (2021),samp. D031708,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA,"DURIKA PEAK, TALAMANCA CORDILLERA",9.3780906,-83.3088964,9.3780906,-83.3088964,3170,3170,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITIC APHANITIC,,,,NEOGENE,,,,,WHOLE ROCK,,,,,,,,,,,,,,57.59,0.58,,21.42,,,,,5.24,4.714952,,6.48,1.73,0.12,,,,,,,4.05,3.72,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82,ICPMS_LA,,,,116.79,ICPMS_LA,,,0.93,ICPMS_LA,,,,,,10.49,ICPMS_LA,,,4.29,ICPMS_LA,,,,,51.15,ICPMS_LA,,,,,95.61,ICPMS_LA,,,,,30.21,ICPMS_LA,,,1.16,,,,113.7,ICPMS_LA,,,,,1779.93,ICPMS_LA,,,,,21.41,ICPMS_LA,,,194.06,ICPMS_LA,,,16.04,ICPMS_LA,,,1.28,,,,,,,,,0.07,,1.16,,,1.21,1712.86,ICPMS_LA,,,50.9,ICPMS_LA,,,97.02,ICPMS_LA,,,11.21,40.77,ICPMS_LA,,,,,7.1,ICPMS_LA,,,2.08,5.54,0.72,3.31,0.64,1.71,0.26,1.7,0.24,4.56,0.78,2.1,,,,,,,,,,,,,,11.29,ICPMS_LA,,,,,14.28,ICPMS_LA,,,,4.64,ICPMS_LA,,,,,0.5129860395058,,,,0.703762,,,,19.0668093609589,15.5689611698003,,38.7845075133101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [24679] ALFARO A. (2021),samp. D031708,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA,"DURIKA PEAK, TALAMANCA CORDILLERA",9.3780906,-83.3088964,9.3780906,-83.3088964,3170,3170,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITIC APHANITIC,,,,NEOGENE,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,MS,,,,,,,,,
2021, [24772] DI GIUSEPPE P. (2021),samp. CA 142,,ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT,"DARENDE, KEPEZ DAG",38.3419,37.8197,38.3419,37.8197,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,PORPHYRITIC-HYPOCRYSTALLINE GROUNDMASS,LAVA FLOW,,,NEOGENE,,,,,WHOLE ROCK,,,,,,,,,,,,,,56.34,1.18,,16.93,,,,,2.66851299673174,,4.00548696844993,6.01,4.06,0.1,,,,,,,2.39,4.16,0.33,,,,,,,,,,,,,,,,1.35600003481833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,ICPMS,,,138,ICPMS,,,,,,26,ICPMS,,,67,ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,56,ICPMS,,,,,425,ICPMS,,,,,23,ICPMS,,,183,ICPMS,,,8,ICPMS,,,,,,,,,,,,,,,,,,361,ICPMS,,,34,ICPMS,,,71,ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,WHOLE ROCK,,,,,,,,,,,,,,52.839,1.573,,15.752,,,,8.504,,,,3.963,1.677,0.255,0.148776131428571,0.11404300527551,,,,,3.081,6.017,0.634,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,1502.4,,,186.8,32.1,,,,,,,6.5484693877551,ICPMS,,,,29.0059787920889,ICPMS,,,0.773779418289055,ICPMS,,,,,,6.16886728942785,ICPMS,,,1.67551737935977,ICPMS,,,,,2.42018318948133,ICPMS,,,,,171.902676360635,ICPMS,,,,,,,,,,,,1,64.7607142857143,ICPMS,,,,,964.341326530612,ICPMS,,,,,68.5767857142857,ICPMS,,,508.462992749194,ICPMS,,,125.052090626765,ICPMS,,,,,,,,,,,,,,,,,0.103316326530612,1332.52244897959,ICPMS,,,119.879081632653,ICPMS,,,258.565306122449,ICPMS,,,26.9543367346939,102.420918367347,ICPMS,,,,,18.3961734693878,ICPMS,,,5.63805990469374,16.0195028680988,2.16277673810164,11.875,2.23877551020408,5.8330516192388,0.754081632653061,4.57933673469388,0.66734693877551,12.7460112752767,9.05229555471512,,,,,,,,,,,,,,,12.8948979591837,ICPMS,,,,,19.897193877551,ICPMS,,,,2.90867346938776,ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-046,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.313651,36.293727,-3.313651,36.293727,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,WHOLE ROCK,,,,,,,,,,,,,,54.697,1.596,,16.346,,,,8.6,,,,4.112,1.834,0.229,0.121183157746479,0.102645218480885,,,,,3.105,6.13,0.622,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,1613.6,,,52.5,23.2,,,,,,,6.64939637826962,ICPMS,,,,28.1223845993582,ICPMS,,,0.560073169194193,ICPMS,,,,,,5.7481758748951,ICPMS,,,0.856307081620156,ICPMS,,,,,2.08208597434409,ICPMS,,,,,172.759683468241,ICPMS,,,,,,,,,,,,0.8,64.4723340040241,ICPMS,,,,,867.962273641851,ICPMS,,,,,50.5535714285714,ICPMS,,,484.338050114955,ICPMS,,,100.899330170748,ICPMS,,,,,,,,,,,,,,,,,0.115945674044266,1085.38430583501,ICPMS,,,123.827464788732,ICPMS,,,237.431589537223,ICPMS,,,26.9298289738431,100.430080482897,ICPMS,,,,,17.3855633802817,ICPMS,,,5.49195204844666,14.5673784265287,1.9129230038349,10.2922535211268,1.86016096579477,4.71580497727602,0.60261569416499,3.73314889336016,0.532193158953722,12.1927578946217,7.12026727961019,,,,,,,,,,,,,,,13.135814889336,ICPMS,,,,,19.3060865191147,ICPMS,,,,2.19366197183099,ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-046,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.313651,36.293727,-3.313651,36.293727,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.7,,,51,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,TA-045_01_1 ,,,PRIMARY,,,,,,,,,34.938,0.036,,0.016,,,,,,38.78,,0.35,25.683,1.365,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8759397123433,52.9792671778347,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,TA-045_01_2 ,,,PRIMARY,,,,,,,,,35.424,0.022,,0.015,,,,,,35.921,,0.254,28.162,1.133,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9978847664067,57.2968794823724,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,TA-045_01_3 ,,,PRIMARY,,,,,,,,,35.406,0.026,,0.013,,,,,,37.159,,0.304,27.197,1.214,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5755551787425,55.5484246464033,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,TA-045_01_4 ,,,PRIMARY,,,,,,,,,35.226,0.023,,0,,,,,,37.538,,0.29,27.307,1.221,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7424485288394,55.4264038138592,,,,,,,,,,,,,,,,,,,,,
2021, [25172] BRAUNGER S. (2021),samp. TA-045,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / TARASERO,SOUTHERN PART OF THE VOLCANIC COMPLEX,-3.293488,36.301786,-3.293488,36.301786,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),OLIVINE,TA-045_01_5 ,,,PRIMARY,,,,,,,,,35.058,0.042,,0,,,,,,38.262,,0.321,26.511,1.249,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8800386500279,54.1975790616347,,,,,,,,,,,,,,,,,,,,,
