"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 68",166595,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","PRE-CALDERA STAGE",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",54.31,0.79,19.65,5.81,2.07,6.51,2.95,0.44,0.36,6.556174,99.086174,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 317",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS) / CODOLA FORMATION","QUARRY NEAR THE VILLAGE OF CODOLA, ESE M. SOMMA INTO THE PLAIN",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",54.07,0.78,19.05,6.46,1.89,6.27,2.75,0.36,1.54,7.119902,98.749902,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 60",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","BOTTOM OF LAGNO CAVONE QUARRY, N SLOPES OF M. SOMMA",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",52.71,1,19.42,7.25,1.86,5.82,2.83,0.62,0.6,7.352206,98.862206,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0416",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / MONTE CIMINO","NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",60.93,0.76,16.38,5.1,2.57,5.79,2.38,0.32,NA,4.08968,98.31968,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0419",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","MADONNA DI LORETO, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",60.08,0.82,15.16,5.59,3,5.92,2.29,0.36,NA,4.615532,97.835532,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0275",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","ROAD COLONNETTA-SORIANO, 500 M EAST OF THE COLONNETTA CAVE, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",59.5,0.87,15.94,5.26,3.07,5.88,2.17,0.31,NA,4.270742,97.270742,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0182",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","SAN ANTONIO E ROCCALTIA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",59.04,0.97,15.23,6,3.61,5.92,1.94,0.33,NA,4.436494,97.476494,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0422",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","ROAD TO FAGGETA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",58.69,0.94,15.3,6.65,4.37,5.76,2.08,0.35,NA,4.4697,98.6097,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0418",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","ROAD TO FAGGETA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",58.66,0.94,14.93,6.25,4.45,5.5,1.98,0.33,NA,4.822586,97.862586,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0423",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","FIANELLO, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",58.56,0.98,14.86,6.45,4.64,5.79,2,0.38,NA,4.88465,98.54465,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0123",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","POGGIO SAN VENANZIO, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",58.3,0.9,14.63,6.67,4.38,6.01,2.03,0.41,NA,4.67968,98.00968,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0312",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","AT KM 2 OF THE ROAD SORIANO-COLONNETTA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.99,1.13,15.37,6.45,4.62,5.88,2.01,0.35,NA,4.64467,98.44467,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0122",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","AT KM 5 OF THE ROAD SORIANO-COLONNETTA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.95,0.98,15.3,6.57,4.29,5.96,2.06,0.35,NA,4.823628,98.283628,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
"latit","1971","[8862] PUXEDDU M. (1971)","samp. MC0361",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE CIMINO","LA QUERCIA, AT THE ROAD BAGNAIA-CASSIA, NEAR VITERBO",42.4,12.1,42.4,12.1,"SUBAERIAL","VOLCANIC ROCK","LATITE, OLIVINE",NA,NA,"WHOLE ROCK",56.44,0.93,14.37,6.73,6.34,5.88,1.55,0.31,NA,5.197536,97.747536,"8862","[8862] PUXEDDU M.:   CHEMICAL AND PETROLOGICAL STUDIES OF VOLCANIC ROCKS FROM M. CIMINO (VITERBO) |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 78    [1971]  329-394"
